estrategia,modelo,bloque,valor,n_metricas
acumulativo,hgb,1-20,-0.1485025985604737,21
acumulativo,hgb,1-40,-0.008025175761948208,21
acumulativo,hgb,1-60,0.0914479062635409,21
acumulativo,hgb,1-80,0.12924638931399002,21
acumulativo,lasso,1-20,-0.0631277317947115,21
acumulativo,lasso,1-40,0.02910363376443667,21
acumulativo,lasso,1-60,0.06808920959272245,21
acumulativo,lasso,1-80,0.07271140073559329,21
acumulativo,mlp,1-20,0.0484638558619604,21
acumulativo,mlp,1-40,0.16387384937382235,21
acumulativo,mlp,1-60,0.21276635786550027,21
acumulativo,mlp,1-80,0.22245352474145752,21
acumulativo,random_forest,1-20,-0.047495294350859404,21
acumulativo,random_forest,1-40,0.11191201919468806,21
acumulativo,random_forest,1-60,0.19554982677961777,21
acumulativo,random_forest,1-80,0.21396172508974076,21
acumulativo,rbf,1-20,0.27518250812156364,21
acumulativo,rbf,1-40,0.5194921560581177,21
acumulativo,rbf,1-60,0.5848242579749312,21
acumulativo,rbf,1-80,0.5853938161005706,21
acumulativo,rsm,1-20,0.4619561687881627,21
acumulativo,rsm,1-40,0.4269994518723143,21
acumulativo,rsm,1-60,0.435884364402411,21
acumulativo,rsm,1-80,0.4370646419724456,21
acumulativo,xgboost,1-20,-0.07415229346585647,21
acumulativo,xgboost,1-40,0.06360570053423362,21
acumulativo,xgboost,1-60,0.16197954767985423,21
acumulativo,xgboost,1-80,0.17944294319447968,21
no_acumulativo,hgb,1-20,-0.1485025985604737,21
no_acumulativo,hgb,21-40,0.08957181604790344,21
no_acumulativo,hgb,41-60,0.15854518942375717,21
no_acumulativo,hgb,61-80,0.15992118933645544,21
no_acumulativo,lasso,1-20,-0.0631277317947115,21
no_acumulativo,lasso,21-40,0.14571257270455895,21
no_acumulativo,lasso,41-60,0.11107183030147266,21
no_acumulativo,lasso,61-80,0.12715710982712475,21
no_acumulativo,mlp,1-20,0.0484638558619604,21
no_acumulativo,mlp,21-40,0.29219303013567643,21
no_acumulativo,mlp,41-60,0.334667431034025,21
no_acumulativo,mlp,61-80,0.33568653506026813,21
no_acumulativo,random_forest,1-20,-0.047495294350859404,21
no_acumulativo,random_forest,21-40,0.274280830689687,21
no_acumulativo,random_forest,41-60,0.33230916050832165,21
no_acumulativo,random_forest,61-80,0.3249550117811249,21
no_acumulativo,rbf,1-20,0.27518250812156364,21
no_acumulativo,rbf,21-40,0.5062803378266534,21
no_acumulativo,rbf,41-60,0.5599715820530482,21
no_acumulativo,rbf,61-80,0.5668476969679583,21
no_acumulativo,rsm,1-20,0.4619561687881627,21
no_acumulativo,rsm,21-40,0.532348266720575,21
no_acumulativo,rsm,41-60,0.5577327129813534,21
no_acumulativo,rsm,61-80,0.5770974436212648,21
no_acumulativo,xgboost,1-20,-0.07415229346585647,21
no_acumulativo,xgboost,21-40,0.16542612877305637,21
no_acumulativo,xgboost,41-60,0.22731789671274952,21
no_acumulativo,xgboost,61-80,0.21653333276907563,21
