algoritmo,estrategia,hito,spearman
age,acumulativo,20,0.13177841835136533
age,acumulativo,40,0.17259196918680259
age,acumulativo,60,0.21491568584295126
age,acumulativo,80,0.24811330373298932
age,no_acumulativo,20,0.13177841835136533
age,no_acumulativo,40,0.47020216517623903
age,no_acumulativo,60,0.5164206852959131
age,no_acumulativo,80,0.5568969443560302
de,acumulativo,20,-0.0015404274376171056
de,acumulativo,40,0.030225297955678593
de,acumulativo,60,0.04476634336932041
de,acumulativo,80,0.11222830866650378
de,no_acumulativo,20,-0.0015404274376171056
de,no_acumulativo,40,0.1785327296910997
de,no_acumulativo,60,0.18758909498821144
de,no_acumulativo,80,0.25273703414498616
shade,acumulativo,20,0.19959787533172457
shade,acumulativo,40,0.28348894812416753
shade,acumulativo,60,0.309833059808332
shade,acumulativo,80,0.32630260034581837
shade,no_acumulativo,20,0.19959787533172457
shade,no_acumulativo,40,0.3670040386824473
shade,no_acumulativo,60,0.39997080662054657
shade,no_acumulativo,80,0.4169297059410359
