funcion,p=0.00,p=0.50
f1,0,0
f2,0,0
f3,0,0
f4,0,0
f5,3.68290420316,3.63205573175
f6,4.68122272971e-14,1.56040757657e-14
f7,13.1961744036,13.0847747256
f8,3.18784432511,3.08737372033
f9,0,0
f10,145.447463089,146.599827442
f11,0.479598583222,0.580781553791
f12,158.371627975,186.577882717
f13,4.15699898669,4.21122111322
f14,1.96813426183,1.36514724618
f15,0.161356447795,0.249615454639
f16,0.860848595171,0.93836232419
f17,1.79599018649,2.63030980834
f18,5.5793908637,5.65349477976
f19,0.109112155423,0.110125775321
f20,0.392247531845,0.405454521919
f21,138.509902933,136.166114577
f22,100.020826682,100.003701817
f23,301.018969244,304.804802952
f24,276.097034664,268.087647382
f25,422.234681063,419.632328362
f26,294.117647059,294.117647059
f27,389.32637652,389.365627621
f28,341.674989109,356.116668564
f29,245.758025439,245.372137246
f30,48504.3586028,80555.8796354
Funciones ganadas,17.5,12.5
