,SHADE,SHADE-1,SHADE-3,SHADE-5,SHADE-7,SHADE-10
F01,0,7.200000000000001e-09,0,0,0,0
F02,0,0,0,0,0,0
F03,0,2.7e-09,0,0,0,0
F04,0,2.7e-08,2e-10,0,0,0
F05,3.4452290196,11.5745615686,3.9693528824,3.5219445098,3.3196436275,3.4123446275
F06,0,2.496e-07,2.5e-09,0,0,0
F07,13.1243672549,24.7088931373,14.5030119608,13.4087229412,13.2193205882,13.1455105882
F08,3.0325058039,11.4590663922,3.5334803529,3.2047162157,2.9952028627,3.0513860784
F09,0,1.8e-09,0,0,0,0
F10,148.1608114314,667.3953666667,239.4933839216,164.8212383333,162.2365218627,147.5758153529
F11,0.1686738042,3.1300632745,0.4376829079,0.2065954352,0.1695592199,0.1686738042
F12,203.2918759216,145.8228362157,149.1973763373,154.8831078667,150.5593944118,148.1329266863
F13,4.7044525882,8.7646438235,4.9920315175,4.6571776998,4.7399397878,4.696729662
F14,2.8095190163,14.8289061176,0.6073160406,0.4335840618,1.9814143085,2.4831123692
F15,0.2232163446,1.0419181233,0.3007808337,0.2259927268,0.2178848907,0.2164917999
F16,0.8180814667,4.6230788824,1.3234303667,0.8816936824,0.8228614275,0.8182099667
F17,1.9697837608,25.0435848627,6.1595003373,1.9554444255,1.9425611235,1.621568349
F18,3.3801809827,3.2844507276,1.783995776,1.5789211754,2.3933523213,2.7049992867
F19,0.2147607956,1.7525168555,0.1717075884,0.1990884352,0.1928599245,0.2147607956
F20,0.3926319976,16.1464078039,0.4572140871,0.3926320299,0.3926320057,0.3926319986
F21,163.488454902,100.1024196078,100.0602,106.1948764706,130.6264568627,137.8681019608
F22,96.8551356863,90.9813633352,92.3844188236,96.0957588235,94.3568619608,96.0964862745
F23,304.7824058824,311.7508058824,304.8338078431,304.7891431373,304.7417313725,304.7978392157
F24,296.6461039216,145.3247019608,162.163234902,238.7885117647,234.1908684314,272.144027451
F25,417.4549803922,403.2842862745,408.7974431373,414.2339078431,416.0825235294,416.9790235294
F26,303.7683803922,300,300,300,300,300
F27,391.1010588235,389.3430823529,389.287527451,389.3569431373,389.3856039216,389.3714117647
F28,436.7709882353,308.007645098,319.6053509804,336.1341764706,336.691227451,332.4642568627
F29,244.9033960784,266.8647254902,250.5274176471,246.3739235294,245.5191882353,245.5609921569
F30,105041.5517647059,16455.6335294118,438.1190392157,434.8222784314,32481.3256921569,16467.7138039216
Best,6,5,3,4,3,4
