dim,population,funcid,final_error
50,20,1,5649.233314441469
50,20,2,10144.0
50,20,3,0.3690460844408108
50,20,4,212.76667112327345
50,20,5,542.4810677890396
50,20,6,61.95895392339537
50,20,7,2542.9107374860732
50,20,8,321.365396635847
50,20,9,28563.064671097934
50,20,10,7492.402267489393
50,20,11,302.7695244582826
50,20,12,997519.2979234767
50,20,13,6430.359252174631
50,20,14,47564.47233668033
50,20,15,1762.6288677456137
50,20,16,2490.648576450936
50,20,17,2384.1232748623324
50,20,18,139140.09102283
50,20,19,186.3855525097365
50,20,20,1635.5905490254827
50,20,21,796.2941844801262
50,20,22,9280.167384322285
50,20,23,1385.1713941564985
50,20,24,1636.838670712922
50,20,25,523.8278660165797
50,20,26,13978.5405100375
50,20,27,3414.259384221499
50,20,28,507.71356827338195
50,20,29,2270.625813611803
50,20,30,797382.4501144886
